animal,arms,belly,big,bodies,body,bulky,bumbling,chunky,circle,circular,coarse,compact,cylindrical,ears,elongated,erect,fat,feathers,features,feet,fins,flat,fur,gangly,gentle,graceful,ground,hair,hand,hands,height,hooves,horns,huge,lanky,large,larger,lean,legs,limbs,little,long,low,medium,muscular,neck,normal,nose,oblong,oval,ovals,parabolic,paws,plump,powerful,rectangular,rough,round,rounded,scales,shapely,short,sit,size,skin,skinny,slender,slick,slim,slippery,small,smooth,soft,square,squat,stacked,standard,stout,stouts,strange,streamlined,strong,symmetrical,tail,tails,tall,taller,thick,thin,tiny,torso,ugly,upright,upsidedown,webbed,wide,wings,wooly
bat,0.264523503174851,0.6464938036173039,0.5168189601031014,0.2543101311531948,0.407166338854588,0.30585898426349145,0.43064352297141023,0.38224813873981295,0.22361084687426946,0.30114524928004704,0.1624620371283524,0.16747954092301298,0.29222935450686116,0.4793093677276014,0.4171964020228396,0.27906864235868106,0.45132968684476554,0.5351300102158282,0.2943464727573695,0.34991259609982883,0.42958678428435165,0.31036196174893443,0.4387651828051623,0.41713736848899813,0.26065043819662953,0.3555021647919072,0.4613484608427453,0.4371568966367702,0.4598931617422924,0.458712799236912,0.3135270096075895,0.4807756492224356,0.48191087984408393,0.3086651117677651,0.4986777015779762,0.3624181535869535,0.3234358847310645,0.3559666461966887,0.5172389541083305,0.4150191712316784,0.3839186876320201,0.3633418938115418,0.20716887995860533,0.298183512491832,0.32795124865691655,0.4665778281283473,0.3679642879408263,0.4968954157886672,0.4066078240050543,0.2454066315044736,0.2861112835266354,0.21978412289217408,0.5828725879887822,0.48981570372305394,0.3053755615551559,0.2690084094782713,0.303192521731092,0.415034659886411,0.38371094035096376,0.3538884718813644,0.3839868197160972,0.3476458147142526,0.4123171816575594,0.27509490056070424,0.46372430559147126,0.44418063546254233,0.3754484308780886,0.3982709871933054,0.34383269437655073,0.34918244059132986,0.3981706544727314,0.22344726789156746,0.36319762346378115,0.24501968668510055,0.48509545180948543,0.3118401499086349,0.2765639275913542,0.3505999358965044,0.39310856425452867,0.3260503748542947,0.2999183594842417,0.29737753573483017,0.18573449620248847,0.5612650405089344,0.5674388546049647,0.34868379166544605,0.4200234058828647,0.3678473094048386,0.30459726448841473,0.3715832812962735,0.45682754248907476,0.46425340774169777,0.48892183817353413,0.49774999571068945,0.45087346882321666,0.24317068132505215,0.5195609730106993,0.5083332253070949
beaver,0.3118801056923915,0.4389881971462368,0.594812316238952,0.23540775074112366,0.26277029940750274,0.2122013541965883,0.3178628571098179,0.4834681648666597,0.27180719429072187,0.18184959637384243,0.2698897337693185,0.14857643503394102,0.17703972426453385,0.38013053347440035,0.33148378011804885,0.24776409680395164,0.32872187864988467,0.4735186233141678,0.3445916784769424,0.3884394038427569,0.33916026526585424,0.3418378165782068,0.5851171026930886,0.1929428345417145,0.2921943469953297,0.18867262302885882,0.29515275771547506,0.3832327108842983,0.1924342485425481,0.18664105458647925,0.29065504778238316,0.3851142417586329,0.3025080877695873,0.28794018561030243,0.3328366836617928,0.3690767526052348,0.3746227491187427,0.3078639206587806,0.3448271613136646,0.28314305574853593,0.5143007157344249,0.33833746890168614,0.2597732264069238,0.26088136837880344,0.25130565965532436,0.429351084287987,0.3139755811013563,0.33106594039048926,0.3858168495043809,0.23146856118685458,0.2993414456545885,0.09427576403687475,0.41134755801027706,0.46410666275834295,0.11040449773636148,0.20143532246032347,0.33191164023697334,0.2789369882231974,0.2985038002792607,0.2786427311760071,0.3141212643148106,0.31443974155003823,0.22990589659360716,0.314607194891688,0.2946928506550369,0.45201974721919197,0.29971124777228875,0.3262819294697786,0.27647511681169407,0.3988483077192061,0.4217009688481566,0.22142185827117566,0.258900374888267,0.26199961102040625,0.25187346983055614,0.21420312113340975,0.2311088529888911,0.4838611247362093,0.4219068961786451,0.30201446636879153,0.2668175335486197,0.1706407184209376,0.09618522782185145,0.48968612257914956,0.469045044483831,0.24462231091843653,0.3180428965779197,0.2606586546102786,0.23114804079414675,0.4078657468005811,0.3090287654692204,0.3481859080788907,0.24252801383372233,0.28179461338793815,0.4219072596705348,0.25381261669360444,0.3429950755770815,0.5532624919776513
boar,0.4397842062920517,0.5509146789952554,0.36177135512503306,0.31144475066337346,0.3937816802768085,0.3159491519445397,0.3481015252272732,0.3064667512655863,0.23900161581723361,0.2531524685875167,0.3565948734258364,0.10388132820608129,0.26728701571681773,0.5589697764685381,0.43453356161670337,0.41263924310814365,0.341833907812497,0.5731500802137205,0.2286900402710647,0.35551312819507097,0.4147955279417941,0.27610042101602456,0.46018198719494746,0.3538726473977864,0.39028127589505596,0.3828984125606123,0.45122365359113586,0.4716780180292542,0.42247713812662435,0.4410509104606466,0.22652909707866745,0.646619292581207,0.5954723295072677,0.36027736303121793,0.418527402304169,0.3322289076203755,0.30246292966989347,0.32192992236468393,0.5486581402772248,0.4968982835803065,0.38467263817428404,0.3423350676542775,0.1581889434879841,0.24936017599704352,0.3929110180611746,0.44184916786387557,0.1904777919122555,0.41748702517856673,0.32527004034588775,0.2676632648078958,0.2496502807810267,0.18733552951737362,0.6021900717288625,0.5521696168740288,0.3142457798346237,0.23739097247073382,0.34531326038676957,0.3095284332050221,0.31622365868193575,0.28888570102487104,0.4915774504797178,0.29469670344670884,0.3180810956982102,0.17987650528268387,0.40703845368216507,0.43849244822639566,0.4797270670997448,0.1991662422648341,0.1866374951548911,0.25657948168047184,0.38127061647311744,0.2844328911697517,0.29799121569564263,0.18678667229012427,0.3735249792620751,0.2086921139727568,0.10419692192182944,0.46097303402865425,0.4065158282386983,0.30973619536477376,0.19558927297996598,0.29747470381567875,0.19410763805964967,0.5382579658160752,0.5295934146367735,0.34308635647947466,0.31864554503010994,0.3584258297579016,0.23339409195910665,0.2891346426538547,0.4341185834642755,0.4093661632341384,0.4708687219664158,0.30666608866739803,0.46417659336619305,0.20363575453441357,0.42733857041979034,0.5011732820219148
cheetah,0.2656791586555078,0.5067651734918912,0.3488742653047616,0.17636302943979068,0.26052432196672143,0.3338230568092362,0.35649756081598954,0.3904421120012406,0.1456765487171845,0.19761065247220666,0.2537823521294705,0.2553572155511429,0.18112856152434734,0.5003619927720523,0.46505353820116335,0.3428112605780332,0.36640516827376557,0.5494370404415446,0.45779585150859686,0.3921114114216332,0.45890403766712656,0.23085283800010112,0.5130688918404079,0.36567930936213433,0.3549398066326741,0.42665301904477626,0.37771552107095974,0.43355237624236553,0.10190478848210195,0.1666808974475011,0.38326261849168125,0.5090828843935579,0.45947202636081164,0.25808369184521923,0.47387917197873314,0.30030007031432254,0.38437692976876986,0.2761178420610812,0.4833704289342818,0.4273794635173197,0.42745158533156485,0.3916924675234702,0.29537570085648296,0.4103246925200186,0.37896699416281293,0.3235430694675361,0.3563080266353458,0.4225413307178423,0.2868528525145897,0.3217878938084367,0.3312697772009087,0.1430926623612965,0.5136566644918078,0.4969352078202673,0.313584704795047,0.19991214283248243,0.38369903342304795,0.21071897723611457,0.321943801053033,0.3648710759003275,0.26522827382784075,0.37956781738844825,0.0532041803927546,0.26514816842297045,0.42192837187620463,0.43524840020440214,0.4654857493098838,0.31986674804604714,0.29942561178418853,0.2253773425295382,0.27825717099627323,0.2620788273188703,0.25938374810450343,0.19684410354626264,0.3130319644110833,0.16599402271704417,0.30616120477299463,0.37347923074274275,0.3068893129434445,0.3607237660898893,0.37056515841203275,0.19355222617661033,0.21959712475751134,0.5858371810340951,0.5924705752961931,0.4385345858943507,0.5412500248691793,0.30764665139168346,0.2378977998970661,0.3143590552617807,0.3060017219485825,0.4842478643753558,0.39630101350481967,0.3379067367415829,0.4609573089987694,0.2609691884262256,0.4624389440919001,0.5187811831773405
crow,0.3308479784430457,0.5624233142254332,0.5675394539987013,0.2566643495563143,0.2891301124460916,0.2773106630906785,0.39455883216464327,0.5066618618986126,0.32807758070850407,0.297930837345216,0.312258179064292,0.21283345756966318,0.2373653050698781,0.48469811862743173,0.413664741116255,0.38692396064385204,0.36242212663889484,0.5899943381829144,0.3476156702191936,0.42532477980023226,0.3476220818617913,0.3245164460563024,0.43268605876306254,0.32161314555513093,0.36107882381083556,0.35624216936025715,0.4399445189214747,0.35008388371652055,0.25822276501284075,0.2648886016928359,0.3542809336591263,0.5022086679165187,0.40850738068483566,0.34128855988381473,0.47800972176080114,0.38841013707571925,0.37728795921254393,0.4131396483350426,0.48330427763484446,0.3660040257521795,0.5805880305201864,0.4689092535408445,0.26862380712593203,0.34373178293856105,0.31066291640855803,0.4448448568176832,0.2647848308247676,0.37823555680731036,0.4603115462072378,0.34632200160194804,0.3270923680193493,0.19694891763289596,0.5139099600554071,0.5407111195819763,0.13155600792263933,0.25258463739466513,0.4530833875384923,0.3124689112540879,0.39398090934036734,0.3714954465535719,0.399358896718033,0.43816262691869456,0.37952472315873353,0.34419235423504285,0.3316772818549533,0.5096424239738242,0.4830984800423305,0.4294116521250936,0.5186669420787983,0.4433077960228653,0.4056071434383339,0.27576638996916486,0.33954460023311384,0.26648776113556155,0.4024753166125642,0.2564343444375294,0.19598393297767486,0.4703886427005646,0.3951009597637945,0.39346660521121446,0.34607572097862727,0.22503824096122957,0.1708403485726561,0.5823902434814752,0.5309637809886666,0.37770419119408605,0.42140511221292454,0.39730014666152746,0.3413570572053693,0.4175306998868713,0.40075014692135075,0.4475100328523004,0.44603069171203324,0.4327088149420972,0.5275152543712287,0.312802866833067,0.51329342031897,0.552969744506798
deer,0.40067694737981635,0.481891087905307,0.44510976052846685,0.25267758641792754,0.27560407863250347,0.22096158428808405,0.281459286884477,0.4322166083689761,0.2687082929084174,0.1818288688425088,0.18726424888442697,0.10921863368184512,0.1577370954312544,0.5185774457177245,0.38904717281645407,0.36011666983320334,0.3185963490942893,0.5510692011846317,0.3076170974759507,0.351254469872438,0.3730408119786139,0.27669838950741593,0.5606776902892108,0.2770414767706751,0.3160289592974449,0.2562253550847638,0.41224076221051015,0.4162567422641237,0.2935621085032303,0.2843291862133398,0.26873115775997447,0.5421701801555608,0.5046986059551957,0.32860846814234795,0.31000974613687576,0.4078640255630186,0.35311072093817664,0.32377058598050745,0.46736980523481236,0.4026083531776143,0.43133757464184064,0.3885330469151539,0.21270215049164407,0.3154569002408831,0.2539587461750157,0.42400921210468495,0.23227681826482194,0.33041775331803175,0.332506309562281,0.25045804956509765,0.3260762137862304,0.10599848747142346,0.5458734611814584,0.4673991467492723,0.12545273999551784,0.16568815621118885,0.2756293699571083,0.2554648001565148,0.28701373113094175,0.26895753877996814,0.3284948186426645,0.3552547892790145,0.1986709175981694,0.20532272328782944,0.32379838017424145,0.3315886324060486,0.39995718088411775,0.2151322155162617,0.1992284955151309,0.27819038201949203,0.4584482952446818,0.1684983062036021,0.1857102261161074,0.20415325328008266,0.3024602305503608,0.1922540450041974,0.1573519365824784,0.44701590280759057,0.3945678591772943,0.26406760739766166,0.21129759566854978,0.21562389037327725,0.0652375913262329,0.5646611925616553,0.49928278722233566,0.29467259256475503,0.32210242195708905,0.24678170358545878,0.1772758076319883,0.33925563052478386,0.3640942183209145,0.3000990520388145,0.4065596125522861,0.28430268238110706,0.45511574430809176,0.2642679412161388,0.45557996724425603,0.5102225375383082
dolphin,0.2435832216336099,0.46043568572272536,0.34353144139310554,0.20719944585298644,0.2637706577627536,0.26867458508015923,0.27792172170615836,0.27049634760340024,0.22592217636014222,0.18390649195560835,0.18667219351914097,0.08502634344116072,0.22825652910380154,0.3700502986794334,0.3951465700810791,0.19648583307004447,0.23098141198976926,0.45948751232432383,0.33970430620702086,0.3602467196105631,0.5015761088239384,0.21736861344476824,0.4171058924337627,0.3663156784203359,0.24132648172951843,0.33551757090443646,0.2945162607208043,0.38237374241119143,0.16883164192697103,0.21406128622467127,0.21755665936850277,0.3558380028011173,0.33172213771219067,0.22664417133491718,0.4505221420824857,0.24719066995859632,0.2658846369252313,0.262105534457873,0.47106108250146705,0.4392144655535919,0.3460916565843445,0.35941274000865764,0.15129218662519173,0.31261674535465633,0.3793696819412157,0.39231834323748727,0.1999434900106827,0.41717779838923275,0.2719837508856567,0.2934737271203303,0.3099861871675105,0.18684276573526656,0.4870203033679813,0.4661216230840978,0.22712603628484748,0.22647898096444002,0.3494519817748434,0.228354846289082,0.26934301558744644,0.38662209063290687,0.26404216628535937,0.26949311843929846,0.1782404247227576,0.23725862664556394,0.4123849645169048,0.35617297192307096,0.46113293656944754,0.20111097784620535,0.24440786317500313,0.26935007885548135,0.24535117524731184,0.22289985737377527,0.2670512164474148,0.2607476554206796,0.3382326658587174,0.07046567639296697,0.19125763398294757,0.28207662525515986,0.20876985659343186,0.2851560588326445,0.28962447836271366,0.08488066684308677,0.23132863855768931,0.48109614977820625,0.42623330863833087,0.29416517552749966,0.2842462519366699,0.29498637772557984,0.24495779703105328,0.22424761448151945,0.31242354214907103,0.28114022014687107,0.3386040071772912,0.39879006427679736,0.47727875549352805,0.31233411483174045,0.34189545874299276,0.35654234009888863
elephant,0.4136861737834136,0.5326854922749251,0.47798966524197833,0.2527715007358485,0.3789979434797251,0.31004277657422386,0.43130225879131534,0.33232009251586747,0.2792732910516844,0.35162955646015487,0.3043463995324459,0.1850627309300597,0.2975712811731243,0.5697950229720142,0.5394096209354539,0.52400374690243,0.4543235551874097,0.5979485968088686,0.35422704896061413,0.47062133478584506,0.37679090226519063,0.2569551368564216,0.42020033398935697,0.46886772386405906,0.39693750356562074,0.4678845278988069,0.43724366469967135,0.4675518207289569,0.342615417514059,0.415417778645511,0.3676593896445615,0.6222484344002357,0.5419152889200419,0.46748030118911066,0.5364224055515168,0.4372570821842671,0.372373769254809,0.3962924402231444,0.546097807532257,0.53013098379108,0.5115221324684297,0.4251144780952612,0.1525727244061537,0.31314440134003535,0.39367156638576933,0.483139375670453,0.2208335586320009,0.4692028378844045,0.43079561634819713,0.41471412593177354,0.2819701858857563,0.17179560789653248,0.5176565838230988,0.557137620275175,0.3332467653526967,0.31855047274453,0.4173295148323788,0.282640836090099,0.37599219008206824,0.33134013226395775,0.4376274288720316,0.39293743460717173,0.25440792470073653,0.23604622519438986,0.3975881798327273,0.3855761469352572,0.49880571768151905,0.32804684775364124,0.3828115398311492,0.3303252924366108,0.3919513010566252,0.30007012895657487,0.2530445271301292,0.39211484853012096,0.43228517214593853,0.2725879411279182,0.16192654627785474,0.42123238864536594,0.30118612942912987,0.3772679767771161,0.3123804337603199,0.2579965410141262,0.2668618361206455,0.527078544735263,0.5235420317379235,0.5136351321663443,0.4871822324763081,0.41347896612583473,0.31047791911926514,0.40357846547140547,0.4106913006621017,0.5387223594406368,0.5049187453619638,0.39514210289917234,0.5093932394942547,0.2798606461390473,0.4244829557255931,0.5300512662528318
flamingo,0.31090958527537,0.4962903338280506,0.5308154535838199,0.23834321290682195,0.26231793140188103,0.28792430470018726,0.415204531514939,0.4219015056269629,0.36185733368165734,0.27189588138960014,0.1898300913373471,0.2227734530723914,0.26794477740385947,0.39697309371172546,0.4650667736176845,0.30268852118397355,0.33973186697107105,0.5447244169824367,0.42580208382976553,0.38197042351922483,0.4435194855973705,0.3431987698317242,0.39211390096268856,0.31128620322658324,0.3846332835439901,0.4003572202580538,0.4349714204580244,0.3395939207216656,0.16320721923827267,0.21897528574211417,0.27477853832880694,0.43962227148832034,0.38544916320378186,0.4026497393844713,0.4518401955729763,0.433667701864357,0.43029095709241477,0.4161080499500937,0.49608023023004216,0.3773035625953116,0.5643830345550847,0.45487632362769,0.26179597945991545,0.3490257941703856,0.3510031534137212,0.4165439535328869,0.2296991922711854,0.43557880842954144,0.3971770812669933,0.34609858966642365,0.38716437739466403,0.1948337841131836,0.45534015240026154,0.5543640693279914,0.153179212047297,0.215359464803363,0.4842810464966518,0.35967760447953107,0.39285606829685604,0.3350974198794028,0.3296037898128695,0.4021523594117199,0.2295943645157058,0.2825254544272625,0.34518539920316266,0.47313956036483834,0.4840054304655248,0.4645868073287945,0.46509967285668197,0.477925301418929,0.43936363951514784,0.40660272636255945,0.32842934102382243,0.34595479429277237,0.4344519372168642,0.22090278589607992,0.13302139494702253,0.45326446582633795,0.3627987223712278,0.4810057557201885,0.4097245770270883,0.27533389112589546,0.2558412204499239,0.5245173788208961,0.5362069549070584,0.3792175768938819,0.43014133484649586,0.3921313287523605,0.2984894328075262,0.4526353501040761,0.3018246124924696,0.49854396793061106,0.389149706392624,0.45598010573784564,0.5676605726983037,0.3925150822160825,0.5216704442124115,0.5007281409375831
giraffe,0.37693910442724493,0.47621130224134034,0.31620115594395976,0.2300113205378156,0.2784643004193318,0.3169802786367084,0.3453822221804061,0.30283231438936775,0.28185434409180704,0.36287595280278206,0.25664541035353594,0.20025715929900484,0.31691566576587116,0.5413912144871996,0.604959387744014,0.5207608702211736,0.31431600706790347,0.5474367881824473,0.35052948135659723,0.4318260741226808,0.4746447957439978,0.35957857746062877,0.491142760183963,0.42243355955002276,0.32698874576741077,0.4093124583947511,0.3334546290047921,0.3807717595928129,0.2051569448780815,0.2170994970572392,0.37750725650594874,0.6055098027836212,0.5883062840019453,0.30453856066407364,0.4541622024897071,0.4149408518410786,0.458863475668604,0.3436939340470597,0.5724357963656316,0.4993777611937878,0.3760876152231819,0.4234728058091797,0.2245371562161854,0.3404899592589822,0.4398418018197956,0.40581459649485047,0.28180980452799753,0.4849665900254007,0.404346770469881,0.42792840566159696,0.433086519088146,0.23778427879478176,0.549884009797633,0.5429093504723241,0.20332371725500692,0.3114970022712618,0.4337391545651959,0.26363542408512625,0.45448412171110564,0.4660973521372286,0.3084696754244795,0.40096963219861,0.21266708132450454,0.3439420296555353,0.35549903631301194,0.34279270476892537,0.569560563658918,0.21698715538548918,0.28599037996549576,0.27509735475410707,0.38440003422578034,0.35297504232935933,0.21643554522128636,0.24819720513521362,0.4790682724189202,0.22699056355302433,0.2645400707143624,0.4026332288093596,0.35821600891172056,0.2955834875296352,0.3495487384022953,0.16556667045617834,0.34834170812989623,0.5826148999438967,0.535668368745936,0.4482709853979867,0.5262719578631738,0.38495694884575954,0.25657173692710994,0.3825192195522672,0.3702845849125192,0.41253871107704165,0.5446814737964798,0.4015586083699938,0.5330168871102229,0.321677523562544,0.4533769306464174,0.4724317110724953
goat,0.3537044974596724,0.5803557819566445,0.42539065425181344,0.32407320283465235,0.38254502262463436,0.2521586834610318,0.4061253060102162,0.40414306002681527,0.3003582001009543,0.2822225784002558,0.35345191819508653,0.15244704918176855,0.2969027386912079,0.6145640620764025,0.45513716846643176,0.3390622109076032,0.43478107226695023,0.5311676641176821,0.3091445413245399,0.3427977311357984,0.3102404320238924,0.457119681725711,0.5119089003306524,0.37844407834487315,0.40608819597279394,0.30249853009749217,0.3850815074997862,0.49695394201007764,0.38519661353990636,0.3582506603422924,0.23134234042916904,0.6462537534209611,0.6311924689298856,0.30238466480596227,0.41241351940784265,0.31479138270938145,0.2932985749679545,0.394349530849456,0.5061184712590722,0.41371035143507323,0.38829400210940984,0.266897077815167,0.2532875301345222,0.26235641818285543,0.34206195615960894,0.4479020843917559,0.2440086753971762,0.45686761263733616,0.4961539163469988,0.2881299789664862,0.2870649103484851,0.234602514151996,0.5499590334915124,0.5236759497019007,0.1645063329897794,0.29598921598313416,0.41168456581387064,0.32215581569294516,0.37891782074145186,0.2908783947511142,0.46701529886180154,0.2914163615386737,0.2820452191991454,0.19490123644848875,0.45394992097134346,0.5075840125567974,0.41470188809052666,0.3448353244888039,0.28497220944396445,0.3433268169404697,0.36980158521061224,0.3287481825204909,0.3433159564903837,0.19151716405577077,0.3729165291564095,0.2527158435781104,0.2412091350097495,0.40041680870563345,0.3668341296099613,0.3632968638442849,0.15761103159907042,0.2445799020457661,0.14163137914055146,0.5090672387526378,0.4527908918777571,0.34593247286461637,0.3515898754214164,0.3820769329897137,0.34198510613155025,0.35828072076354545,0.4368742685331165,0.4869275778588704,0.49792413492491877,0.3601030559661246,0.414399520473501,0.19992451992852064,0.3956909317522554,0.6037040225511787
gorilla,0.28150382054704626,0.46591135018720536,0.5499649187483194,0.3151890405072406,0.331819736364836,0.2864506306553452,0.4925071746872168,0.43713269201566574,0.2299255180775531,0.22367369581445076,0.2676583129694804,0.18912686748682697,0.18857905237723052,0.5237715136068034,0.5110493090281367,0.37444717232377217,0.34982100123047133,0.5217991156356643,0.5000025416971314,0.38035677964746406,0.3688203024880171,0.21921373885463744,0.5204188231519108,0.39330428371866005,0.3904580698009161,0.3912090711477051,0.3455638198433921,0.41096068433118577,0.23484385880363817,0.29198496123123335,0.2736420975365243,0.5214725175463377,0.37983984928982956,0.3845704689025088,0.5328020929155527,0.3467873194093935,0.3302377766253896,0.34684354522714117,0.48817577566926984,0.4521331436446101,0.47291602600559607,0.35241333155176496,0.17977923396833792,0.3179661721222601,0.4213616019998946,0.36196177416517744,0.25668302368191137,0.3709744170586718,0.3827304874263644,0.28350918388479335,0.26974727194268117,0.1444221453985799,0.48100475887301475,0.5467556382074239,0.25511681310949264,0.19091032394095706,0.410389409881677,0.2664230599971644,0.33029097766345783,0.31260042604729327,0.414752205105067,0.34261915507277735,0.20950583022119373,0.22549258239170364,0.3973475957527703,0.5193700421341765,0.40025515185794797,0.3392388412607383,0.3699749601696899,0.32683133921379337,0.34717750088372373,0.2618285031402864,0.3427978618066017,0.23914042714587272,0.40954925584423685,0.18523679824722153,0.16017773175906716,0.2979364083880247,0.23232820944154112,0.4762758456380803,0.26874215051922834,0.1979356467298194,0.16609793416085997,0.46392929290657564,0.5552685651128537,0.3945747245392574,0.40232273396955764,0.3594343501789402,0.32165145531282846,0.4662567800767003,0.37346143420525957,0.5579376431468028,0.38413644007069064,0.35229363884894394,0.41868691337557146,0.3225277960308239,0.3606245521945731,0.5457327745719768
grizzly,0.3204034730967143,0.5407306441524288,0.5143780813227171,0.15965564676338315,0.24099171367285488,0.2961658639076726,0.4373067361132218,0.424540007555562,0.1823897634294342,0.08958306740292779,0.27851029062982197,0.20466798300496641,0.14966918581105945,0.474111645845629,0.413812266179054,0.33562128501027194,0.3250500762479507,0.488830054557932,0.48786382188327176,0.4234554069190568,0.41121234245027316,0.31604358301398056,0.5019517172759006,0.2392712592075382,0.37600341112377456,0.3643692836227076,0.40385428977900395,0.3288047152013952,0.1919986798459925,0.19628741381811834,0.37465929808895526,0.5092567610862057,0.4061966278689823,0.3332144809825998,0.4500935110219783,0.3592045757615326,0.34390918652218594,0.3755088894671316,0.43099999167408193,0.36265129413139713,0.46120453275868944,0.3897758737864855,0.29391065981514747,0.3883110712036299,0.30751988103811134,0.3158309800453121,0.2886515053324333,0.4291959506665556,0.32981100485640735,0.2900682662051276,0.30454991270086224,0.07140363119392401,0.5790718969064661,0.5089918692983523,0.2012099439774341,0.10476560864506623,0.3738899535220968,0.3620516105160947,0.36019652483158937,0.27160628798195935,0.32021104980784715,0.41240570562441675,0.23094075101954445,0.33091204718945694,0.3461463740586941,0.5025661635720912,0.40824974059734276,0.44611570057969446,0.4269629968160376,0.34329061002055344,0.35201810283971363,0.26270313125715355,0.37455522134235375,0.14200615844431336,0.2912036840865068,0.20421212290070795,0.28768541661394187,0.4997255402638251,0.42753497889917097,0.3262314813384339,0.2713551567421289,0.21145238583612624,0.06574001616782081,0.528012264396116,0.4723233577860496,0.448500367531112,0.4682421429759055,0.3882982444457838,0.28014178781435295,0.3679399604053375,0.3129902738024415,0.4199151235167644,0.336346692666173,0.3268026731852724,0.4290889442672426,0.4077011553887546,0.4391520848911635,0.5773314479046516
