animal,arms,belly,big,bodies,body,bulky,bumbling,chunky,circle,circular,coarse,compact,cylindrical,ears,elongated,erect,fat,feathers,features,feet,fins,flat,fur,furball,gangly,gentle,graceful,ground,hair,hand,hands,height,highback,hooves,horns,huge,lanky,large,larger,lean,legs,limbs,little,long,low,medium,muscular,neck,normal,nose,oblong,oval,ovals,parabolic,paws,plump,powerful,rectangular,rough,round,rounded,scales,shapely,short,sit,size,skin,skinny,slender,slick,slim,slippery,small,smooth,soft,square,squat,stacked,standard,stout,stouts,strange,streamlined,strong,symmetrical,tail,tails,tall,taller,thick,thin,tiny,torso,ugly,upright,upsidedown,webbed,wide,wings,wooly
bat,0.3844903657746486,0.42737114850392066,0.4265526770463812,0.32507132260423055,0.4493690375760413,0.233247815407221,0.3054365215668561,0.22923267924134047,0.3350518870673231,0.3122788819899157,0.24555968891903687,0.29908531244942593,0.33838976859669706,0.4158180714874812,0.3953731904948708,0.34885641914857085,0.31228476447737724,0.48577847106040867,0.22880008630273962,0.40146047728441764,0.35681570836849824,0.33567777758913625,0.36285829090065375,0.47187709857107313,0.36671234312826295,0.28919780795820993,0.307924547738582,0.44316183969169654,0.362607714896956,0.4465815718489728,0.45020735483717444,0.36716268489562287,0.36063642138204854,0.3984618974704977,0.4050274544744802,0.3369754993566446,0.3470717613152917,0.33613980899164836,0.3216432854100202,0.34958698922017506,0.40783939773121525,0.3237646560722847,0.43357852483157266,0.3744209762667612,0.3664740041788253,0.1982057587535348,0.32865400527314903,0.4223143835678312,0.33528597694098705,0.38807440070051763,0.2737910231019572,0.3264405410576707,0.304753813081007,0.35986387157812766,0.4443447721813208,0.2535416690856173,0.304088802364836,0.29170256428883246,0.4021029778504432,0.3959870483276047,0.35898084113185424,0.31150201871477934,0.34837789810764763,0.33525135505520576,0.3634522528913901,0.39752663164352536,0.35295207373751536,0.32824146578889807,0.32950886519860845,0.3344828934229655,0.2904972898469903,0.3246719148348339,0.31735556130472736,0.2622865384567082,0.32715315464781614,0.27448974610968985,0.3335419578249029,0.2933520880411295,0.3138262339057341,0.3472455109022361,0.3101369054120587,0.425947746606847,0.2600580119036508,0.35623635459484115,0.3290250363307904,0.5311783607077168,0.48846714197707575,0.39699262404781366,0.37542890634116655,0.34797278069849824,0.34377930528663553,0.3186167974093243,0.4009516746836514,0.3918785948410388,0.40672420849417673,0.3459209618015312,0.4109894948672846,0.31566556171080795,0.49972749995182264,0.4309782942140996
beaver,0.2907220175876601,0.47863542794943476,0.3848251004052369,0.33133592130711315,0.355507886278224,0.29317873797914074,0.36319160535167605,0.2817156388399495,0.2680394849842122,0.3257311364425745,0.41705507711660394,0.30272498430963996,0.37443048571407567,0.4451890336499725,0.3872841853610397,0.40837255404240197,0.37134525330736057,0.5664882474594488,0.3122621348055538,0.38477357897394315,0.48368552562980904,0.32866831106472477,0.5926573386580934,0.45075110795437945,0.3817161211181541,0.39336894877129086,0.3496790064777474,0.393740517888961,0.4090888502654361,0.35114746346634096,0.3639825844613505,0.2968827644361915,0.36313300677822447,0.47588989970746476,0.399943258357676,0.34768966425134823,0.31263750045974276,0.39111633251525946,0.33324777743984924,0.37677418843072347,0.37097523541399285,0.32076835554256095,0.43798941657895896,0.38395379854484923,0.3778301108248909,0.22683550125268837,0.31132278392197293,0.41330158136236544,0.2925114336379056,0.4163770092316942,0.3160081380626338,0.3119733774391041,0.3320138546592458,0.307238757604374,0.44153682887454543,0.3791438048136137,0.22059232632754794,0.30615043700865807,0.39535417185408195,0.3245390377985491,0.3747677340113995,0.2958406899227024,0.41934137535644284,0.3669339724964332,0.30320053573426353,0.3499293802089652,0.38214421153044753,0.35484988357646424,0.4050294529195787,0.37075274286190546,0.31310955236044113,0.3503295626260249,0.40846847256640934,0.28527412777763766,0.32862681366505436,0.2521366414737866,0.3102526817025291,0.26811917485178066,0.2181293243617686,0.4156475882088878,0.35195713339367435,0.3652934929348788,0.3380665610796238,0.3118698240444549,0.3350554634952973,0.5254649671571424,0.5658767955633959,0.4267978259242888,0.3566564697438696,0.4408293927392776,0.43586226977829606,0.3499226292110469,0.3456660485548233,0.36576008355951356,0.31253484578202956,0.279185140934198,0.45874476816473747,0.3412880586816733,0.40664734834244554,0.6109879353066819
boar,0.34003253597518646,0.5287086209577889,0.3675318493779941,0.29731132618284906,0.38888582321041965,0.25810362019114025,0.3287273689373821,0.3342323888433067,0.27287185823215515,0.327964159973788,0.4194603949335828,0.22806479576883232,0.31894641045802075,0.45712999787390834,0.39044772681887546,0.34763172998247016,0.3346250861681812,0.51571461654972806,0.2851628491092545,0.3125484453125043,0.4331472299105044,0.3416913866636453,0.49462887519560267,0.4928909700755104,0.3848953677598178,0.35811988940527656,0.35176702987990977,0.37534439842929596,0.40867529754155474,0.38368662284010685,0.38432203719296515,0.29742302042616336,0.43407463279438363,0.5779736204181001,0.5150060272951853,0.335661627864129,0.29133547088869194,0.3412907761819424,0.30957985891754713,0.4196232363726512,0.4152542089793975,0.33679998405262473,0.38425720744962366,0.3490660274224182,0.27647365753251424,0.25012257484752853,0.3347393852208298,0.44694570731168687,0.2218889559450996,0.44441253130980696,0.3493563651105044,0.3369345943447074,0.3252845504250852,0.31510616338884034,0.5099563085366424,0.4202158496746979,0.27992166800775553,0.3123320425956009,0.3880727795500602,0.42228475731358855,0.3677615891814769,0.2731632499353823,0.3833947316879489,0.3059493556157291,0.28430602373345704,0.34648243128851725,0.3932790648145056,0.35753764143605277,0.3783115071417104,0.34291542344205517,0.2481497622921281,0.333994593394912,0.33222308494543384,0.27887745823187,0.339483675180637,0.24593288243140465,0.28707901738792996,0.28642296400379613,0.2425380699010108,0.4408956039480589,0.43706806077435606,0.3914282515915535,0.2527688959254277,0.2589161498867535,0.2871554621213002,0.5586486531760595,0.5245997482002718,0.36507019782028644,0.31906986171342194,0.4563548043813258,0.3916558404016967,0.3105700786360055,0.4371973489338654,0.41211110133762735,0.37229234864932703,0.3218853545075908,0.39705986427102774,0.28310011873028984,0.4452815537495685,0.5409189854384437
cheetah,0.32381421725072357,0.2885315144036346,0.3281253247429937,0.25283925556995546,0.3075046489917465,0.28118901998115026,0.2122321615960391,0.2570743017426672,0.25947434043993906,0.27091530510330586,0.16122373732092726,0.23068790442782444,0.2602039680473451,0.3024450734303241,0.35203236032480434,0.31772689616849004,0.2856087199180072,0.4311221500068036,0.20972133890523526,0.31537940175645995,0.42008078998512305,0.24116814764331945,0.4707691379915331,0.49177893210701185,0.35308653873744084,0.24263252600663995,0.3634186932803442,0.2652247177990775,0.31167835065257593,0.22048971724484764,0.25263579669907577,0.23801879323389116,0.3296939195966037,0.4073901354733275,0.41726669907651764,0.2751461038243833,0.28324508812568827,0.23988522189941133,0.2353073930647039,0.2699059066418785,0.41490999403155304,0.3321891095408414,0.29682650999704663,0.249069561484246,0.23385516280719384,0.1716112240368214,0.36174050193180796,0.32496227721609355,0.27194393837381725,0.2732171040830428,0.23788857147144768,0.29813324977402533,0.2960723300448167,0.2855517362624569,0.5391548688496663,0.31415251147550227,0.22673734262946335,0.23325468961353277,0.22320501956332928,0.22272095937552688,0.22719226900276857,0.17557072542688865,0.366828014862844,0.2590583707334724,0.23547740676073947,0.3157041532203887,0.29196061945096735,0.3755305229125722,0.33175722414559305,0.26787603079428507,0.28488877216793157,0.270930070437954,0.25061999300444043,0.26423655305200905,0.2734290099567551,0.19731444650215907,0.2806852535730425,0.1340523346217334,0.208206655607414,0.27270284916260995,0.22360589244252543,0.2838130013521924,0.2294021269084007,0.22355748431528208,0.2728838985075071,0.521696200683739,0.46598362826373024,0.326368418732345,0.2945100840777987,0.24539890066000672,0.22415885025937868,0.29895388036085485,0.3723610650906747,0.2634987727386381,0.3640360448070979,0.23795800133040668,0.3745011157994507,0.22696872396504889,0.36377541629788757,0.4920721567328437
crow,0.40486662899090814,0.5485668928369621,0.4547077514920125,0.32097581419750976,0.43468196913871976,0.24712737550153777,0.42196111897143246,0.2484748991336778,0.47252853953626034,0.38996748233350365,0.3486427080567275,0.3129434646169589,0.31673911533655225,0.5497217471255492,0.43658177477824184,0.47689961764522687,0.3536721031738022,0.6251113253182577,0.22265999431685615,0.5099667369735649,0.45428770479641667,0.4442958151984502,0.4333361472698299,0.49032988719115195,0.49389415357027894,0.4066283268300333,0.45551013908930155,0.4644360067601442,0.48108688496871277,0.3905947502118776,0.45987186841401373,0.38632888281623257,0.4211299581996872,0.5175866503503139,0.5054445464781309,0.39834048514891457,0.41105031487272004,0.3635715777076291,0.37406161559353274,0.45792736476498247,0.47587850200200604,0.3405878235702902,0.49427194823083936,0.43534928470033707,0.43815381616941584,0.2441349396030783,0.3367945164472953,0.5045463804726652,0.38097993086509724,0.5158362312439668,0.3465290173524225,0.4127624042381446,0.3716362349927515,0.42975690631340024,0.4707095084156047,0.4465388734138302,0.30959780988409336,0.3284679098965006,0.41479236765073746,0.4269076821885369,0.4015487443464378,0.36579755185409385,0.46016849831120354,0.4044646961317155,0.46648766115170276,0.41326122217178607,0.46092804534792264,0.4283658332902174,0.4250189223520792,0.4008154295673206,0.3540427842651061,0.3296908515873674,0.39557074271633846,0.31442301010871637,0.4226435716194403,0.3777910734186293,0.40418069589224304,0.313071751143372,0.2924861194340439,0.38379247986645293,0.32201520886227203,0.4869591537920174,0.2606398167625158,0.29885835411006556,0.3408407407551143,0.6712615600090106,0.6219666936229243,0.47326923048788355,0.42359046727102057,0.44453384022841386,0.44762394502283426,0.4410092819367551,0.37508791492030386,0.5000569218832032,0.4201111295397455,0.3555381939017585,0.4543337835451097,0.38198474544650013,0.6755443562342411,0.5018379170881769
deer,0.3118086510364017,0.480814450604294,0.3909857701663651,0.4002455809713286,0.43492176848795544,0.20429774673592824,0.2942811318466734,0.1535771089561772,0.2788409077116371,0.2720784112459663,0.34775766738814456,0.33368111004947804,0.29401116170837516,0.48110250834305335,0.4014943610636824,0.35450994497932986,0.3411616591693311,0.5274874139825576,0.36502808423667865,0.4078748711283567,0.43032752864267476,0.33985573675038755,0.4679400908343098,0.40596074952448485,0.3658105894302931,0.37956205175643676,0.31771697487374606,0.47824090633578403,0.3435688635557584,0.3957166899097365,0.3925542586878097,0.3412404020520282,0.3802654400945233,0.548697299689414,0.490157640194127,0.33454489820093747,0.25133742192354486,0.4197498278604495,0.39255306121115047,0.4382955270240069,0.33777675121001643,0.2701953257800744,0.401421776242953,0.4388357968631046,0.4320602506746207,0.18986898289931545,0.300285615989919,0.419206964728267,0.3272085971734411,0.4053062402178051,0.32074568447728274,0.32777655006408934,0.3745417394697486,0.29793556144202915,0.41396725255644257,0.27022326066593366,0.24679128318398785,0.28115284756776915,0.43397369757211623,0.3823402701032228,0.44431976674965135,0.34366429799381376,0.4014665996220784,0.38057329473646073,0.38464138330932,0.36076728578378703,0.36927092329362504,0.2616548660066878,0.35546769833383884,0.3099260708050422,0.2518315430624914,0.2899901579344355,0.40177920449569454,0.20713254988428115,0.28626911782011566,0.25083618627221455,0.21287171192548732,0.3169653908804772,0.297211073650113,0.3525913483310107,0.39093870939522357,0.43492265134313085,0.301034632642331,0.37070274829030686,0.3006400049848367,0.5151466711266168,0.5136343282516777,0.4183498229148198,0.3633615908688607,0.41677903168745556,0.3762949910567753,0.2621889123801536,0.3723790248021424,0.38700139225315733,0.38505237863625114,0.2839211220655126,0.4158510358036318,0.3861661554313151,0.40762870685153757,0.5292794681649129
dolphin,0.3019965450257291,0.36039029035821446,0.31354272934905586,0.2710796491820761,0.35151975332039087,0.17945037997516658,0.16588636743187066,0.2505067389665041,0.29466256344882397,0.3240323712285267,0.2319921991701738,0.1483415886227514,0.2707751984795743,0.32033762152271905,0.31661057800780773,0.2514548770772701,0.21240301470597325,0.3768760988874933,0.25076523171046233,0.30856300165014366,0.5331807897532259,0.25557366839150386,0.3827594620847787,0.3840246249629165,0.25415114418271423,0.36685969272269386,0.36334106088078894,0.20323159017019723,0.31446614613374446,0.2908047567891416,0.26854526882643787,0.2381035868545932,0.2814941679624953,0.2985536887472868,0.32670099186139856,0.273253294387672,0.19288978579064417,0.26152734298159436,0.2419098320199878,0.272712049854847,0.35365591655924233,0.2663129570116289,0.35619240287939796,0.24705224834055708,0.21404587927113414,0.15958882764734664,0.33165778738203744,0.37792198282981837,0.24651185473384216,0.33494200542495134,0.26847765720663674,0.2991173880596284,0.3111325433457268,0.337350057139402,0.3779791507052385,0.3214880946772679,0.2194076626540036,0.26637517984554937,0.2324151038512697,0.2324652092047804,0.2501198372802692,0.2810863746493256,0.36154828256729193,0.2180766990998738,0.21953700167422557,0.2980667384813338,0.3598596657617879,0.297221363417273,0.3297536739916758,0.33963602320414543,0.26098234954348254,0.3133174847143518,0.3071907768108836,0.2640119995553446,0.26908363944538105,0.2557954297231713,0.22841033194972032,0.1252910818532027,0.21039476998403092,0.19295126501061372,0.12463988711887014,0.2989580229922873,0.24628621334707632,0.1924302309281681,0.26933133962316513,0.49284192937028387,0.4687238319766962,0.2375047702458933,0.20338000524091607,0.240860072200061,0.2468257692947641,0.3822012172920975,0.3246945251749376,0.22844777731391158,0.2797250992012562,0.2401960067416345,0.38747260645568776,0.31244841463709405,0.35342985690996165,0.27651793885918674
elephant,0.3254852888397923,0.39644307098529313,0.4066480533684396,0.3215554941274064,0.35987264939911173,0.25820162109775513,0.32971842290822156,0.26792621478110556,0.3439014036247312,0.3659442693852379,0.24822885475538856,0.2376100720534538,0.33877014471843503,0.4152586810140474,0.4017897632965605,0.4005270468876007,0.26109020252617704,0.4765213394248286,0.2652708336319895,0.32632095472909844,0.4260713894196167,0.3082691051028509,0.46721037069389,0.5173095912836655,0.37552608220513534,0.3093258314795112,0.34972294369075274,0.36628867943943383,0.32727376406274217,0.2999686891348694,0.3069383769113261,0.30605837658492674,0.34988689075050106,0.473477985247256,0.5401328815111294,0.434971022264088,0.30107006063285036,0.37694580605993433,0.36360508536282715,0.2988625824928104,0.3569260765335756,0.3211702541879811,0.3976788386911603,0.29964104725148083,0.24735906473891311,0.21476770631090025,0.33265459164091676,0.3825528310061953,0.2806839000212378,0.38840674019843496,0.3475517636235941,0.36532525863330606,0.2926913206463185,0.2902621807622752,0.505266929024101,0.34876381299297027,0.31016712500595406,0.31724813687732767,0.31243586909675236,0.29660869992832145,0.2681503262408672,0.24318720436354155,0.3682925848478278,0.2726296680922052,0.30873602201463124,0.39277101210780707,0.33248670021155946,0.35115188709449197,0.33711769045683526,0.2792611125703141,0.24275980452961782,0.3162474632060978,0.3656749925338939,0.20428150453250707,0.2869010061712888,0.2860398068769436,0.2919723071689953,0.2516615241942691,0.26009956311052684,0.31186753728316563,0.2574333520584856,0.39681310201644143,0.21940545213801746,0.2637133245280298,0.318230974389879,0.49871427835153553,0.4277029606954797,0.36885891213925737,0.325894550669733,0.36174824420637103,0.2980946893313284,0.4021309099881266,0.36545565280413767,0.396450086055026,0.41378688544621856,0.29419534557321897,0.3917771932312234,0.25258525762300926,0.3743167714475806,0.5053132091274748
flamingo,0.3633450717696429,0.4329109384725804,0.4288625636109332,0.3081335395992266,0.29474941384480496,0.27724148280752164,0.32331054571556234,0.40749027539907196,0.39689143351539596,0.41675027058836484,0.28761333778930787,0.2777057688767008,0.37178660008655146,0.3638702626817821,0.4128454648919677,0.41934520899474953,0.29004298394560724,0.5627098296829522,0.3141840784007319,0.38187166266544464,0.4911013103492791,0.38859061844224024,0.42224711066299864,0.4425250056163481,0.3805601913878992,0.34123802581951523,0.4845860654394817,0.32715374089871363,0.38900326658159207,0.3407070600880265,0.3687445960142205,0.32230526281976846,0.41743666243352595,0.4205736054977847,0.4576814541154617,0.44148843105771335,0.337571364770359,0.35790648687496274,0.3064120373685964,0.3030566610901383,0.4615361204430484,0.3678225769088077,0.4028651916006333,0.2881937394225135,0.2611737860613266,0.2310903336091203,0.30000513085395547,0.38554976218054443,0.22107154665783232,0.39778073907472994,0.4195282042086574,0.43984075357011354,0.4410163296235435,0.34511140451659694,0.5168327821409083,0.4795660943064858,0.2520462100876902,0.3813909093752282,0.30052618354080135,0.3085929479992356,0.33989745704823837,0.27205429636864936,0.4584822231742635,0.24617077797694684,0.3546371730283136,0.34832711847543746,0.38510038946564357,0.4122888100133813,0.4144868204132306,0.4525156595281381,0.3399184908506816,0.33477742922042664,0.37566994753159577,0.30953426829793135,0.3790174041475933,0.34536417781902656,0.4098444726965883,0.34410065500120207,0.23146064002558892,0.3802137688883373,0.3739619910376866,0.36796774288406076,0.22484920888448934,0.22443030903760647,0.3452466629364836,0.5375292237681686,0.5562662828662425,0.42324650269532643,0.33297980279564565,0.3956627866457387,0.35176141717497555,0.49154368484061933,0.3509375860848258,0.4054153250670766,0.4193055758642466,0.4149226669791,0.4339126266614852,0.30699138883031984,0.5213286594682536,0.4261605064466655
giraffe,0.31931036893133186,0.30907738194046974,0.26974070545965023,0.18793774651691736,0.279375412537315,0.334632504480848,0.2044159295448547,0.33569997079880637,0.25154074236754626,0.33747930112526175,0.22158556315094102,0.20049960246423834,0.3347425579970238,0.3323744408184675,0.3900053943034711,0.3923331295820648,0.32350866173627446,0.43077367678886225,0.21387229256561352,0.3436376888340396,0.3741696023910418,0.2929705050156316,0.41672009760953665,0.46871491049435393,0.4068277045803646,0.2512381448368098,0.423690504183155,0.20679659223221294,0.342578540576109,0.24170634607909391,0.24774788104909226,0.27351793066931707,0.3943990240000299,0.38938780068222056,0.48029887349489747,0.25982708213519806,0.331308354273401,0.22660804202812895,0.20701739775209838,0.28855200833174327,0.4722887236271396,0.3802007965893718,0.32184793015229035,0.2465424090221858,0.16326082249916588,0.12435624071681449,0.3608872453260611,0.37748769801027415,0.2408912186332548,0.3045640612136841,0.34413471670314494,0.3163824129779304,0.284808703413561,0.2743256272222728,0.5023564753200205,0.4068473884105769,0.17967192762372372,0.31900279060164444,0.18172233822006242,0.22033822483045645,0.22001437181886005,0.23419450020697133,0.3950859255666004,0.22971025641296972,0.2733248690921621,0.3065705880676327,0.2926440052467605,0.4608277537058373,0.3985462913865156,0.21735238808441285,0.3143099463923681,0.2652972430410172,0.22721098858946778,0.26738934831930217,0.2564326407414804,0.2475855478117309,0.4000714460203906,0.19102287860083791,0.137350307685285,0.3254230020467522,0.2509250263710056,0.29125680535824344,0.20206455046096555,0.16677101572789824,0.3352889484675468,0.4870820390924898,0.44333027999638064,0.41526514127025693,0.37860741576318796,0.31981080451929167,0.2726328860252216,0.34914939115785276,0.42694552335412955,0.28882942165954567,0.38565783520068037,0.31222116064428534,0.38279959137361946,0.18003111635688301,0.37684916288854314,0.40452923890802656
goat,0.2770867636781735,0.3727059777657582,0.2936800339294409,0.1949471163037563,0.29034383934088276,0.250211788802116,0.2784892292804695,0.41157914186828243,0.2549701002377913,0.2814725767883507,0.4534140735144841,0.1966086024996133,0.2983358678672373,0.3876062763599584,0.3223153828637145,0.29086492459337093,0.39253991528945537,0.3790245196876671,0.2067470945171695,0.28752636206322885,0.2818982891018851,0.36137174770590286,0.4521316863459884,0.4019312939884796,0.310405439697162,0.32608408013951073,0.24628815258770367,0.35663042758772023,0.3342054813891275,0.2502169473336115,0.28961773929521073,0.2353091490405595,0.3783762842391468,0.4906056540041009,0.42961583011101284,0.25128480347062815,0.2902458101742137,0.3094817218019732,0.2415979733029866,0.37839949523698346,0.3902310176759522,0.2718841555749183,0.4036328461060631,0.2784188207965526,0.24645263949511148,0.3347566867223563,0.2618351869226653,0.38988384300866036,0.2746821566811595,0.3662976970446079,0.3275144683217081,0.3013707638311504,0.32189325416957,0.26332542472170145,0.42381328909456717,0.4212648707056013,0.18507930317274557,0.3003154971523327,0.3303010166682294,0.2896447726543676,0.3282148454401458,0.21408563976806433,0.30772869856321133,0.2711636643173285,0.25871657335586956,0.2924632332844505,0.3723324129076739,0.37451925497692334,0.2828816097204014,0.3161571537774875,0.2148135670298933,0.3521172185759393,0.3722475559057261,0.34512259142625556,0.3660831021451685,0.23455788954772075,0.31430310151797886,0.24606507090090188,0.2325302821894952,0.37008552661617516,0.3679748344689547,0.3188295238764881,0.1649461662556857,0.24265396038614442,0.2319618617919428,0.4624904542109185,0.45724617388200295,0.3125791820193717,0.2746064906722506,0.3859360014333826,0.38531395418323394,0.36092936494722894,0.3100003463857193,0.2991699924694999,0.322856623150039,0.2766190817809113,0.24422883653205996,0.22881767186588914,0.3351554736396225,0.44462050552238075
gorilla,0.265028731163855,0.27810827367077523,0.3793945463908231,0.18365951457029925,0.29725093521554274,0.29151509695338856,0.27146054312802853,0.26494241532058627,0.26555889061114646,0.24773646369457017,0.15669123955752542,0.22229867386542934,0.2812737668140423,0.28892995994034554,0.30712999388770007,0.31514412000897724,0.2507174510482143,0.3033456657106814,0.22381586243353063,0.23267272474712863,0.2948020734221929,0.2591439514530021,0.3654209448840644,0.4806577116112958,0.3887888820063433,0.20053052785296752,0.27318343773299264,0.2649904991387992,0.23080069437035164,0.2442392580503798,0.2529280746926999,0.2539401385160393,0.29065523195189463,0.25722313381532225,0.3630366589439842,0.34014229930106865,0.36244842716051107,0.2564947907842181,0.2589288878727002,0.2738068681470823,0.3368088699106876,0.2785663385857478,0.326045126336716,0.19390307934785858,0.19778387031365094,0.22009876360484812,0.33730962742162796,0.30709036476158497,0.2605598611917291,0.31110780266438887,0.24815855350779595,0.22220183535860352,0.1614238996608247,0.23248282612519583,0.46083593767281594,0.2853056277339913,0.2918113472082238,0.24625261510046398,0.19363994351955305,0.2267618843405581,0.15402886354754708,0.15663596469695917,0.302531713642939,0.2223846285563737,0.27020536535843526,0.3435102248913576,0.26744900582737247,0.3874073803624075,0.26832715041497934,0.26342258914701544,0.30527544885842,0.2659371133603426,0.28064078815814075,0.20805068135685492,0.292989730277281,0.22190780497963128,0.3044829526476594,0.14309173009118728,0.2158830412306834,0.24697690352564175,0.21505757845930365,0.27514051472433976,0.17456013013764124,0.23124433819865944,0.23621530576707836,0.3951525077432212,0.3248298433403316,0.31222123469088314,0.31324896270873803,0.31593955899908654,0.27386264623724166,0.32594894858617557,0.31975533190361904,0.32298969306171926,0.3501224948667173,0.2551356984013425,0.32110830309063254,0.18995618722239124,0.28540560996444925,0.4516962112593458
grizzly,0.2513841509380666,0.29990934025214283,0.38126232895286216,0.2648377859733923,0.3326290809231539,0.2708563841643998,0.28485507098932894,0.18882929105411642,0.2017532124686722,0.20374198357269996,0.21001786756223847,0.21865235459562019,0.19201290927846154,0.3363064079479201,0.24910931986431042,0.30347176202667975,0.269562355544383,0.3242995611373067,0.21836581472669997,0.3168081348609224,0.35440366600888173,0.20410088363431733,0.43807993555893265,0.41403108494860347,0.3332798994619075,0.27632328780422233,0.24459693844079647,0.30216275063238274,0.27791360890736233,0.21461622323203056,0.2486780183010917,0.2373951704494548,0.3047109852275883,0.3794154825893264,0.3973172299478624,0.33194931686703777,0.3187260471845717,0.3035269910244011,0.2726854705378145,0.30525731685928126,0.30078031697262836,0.26971617272927556,0.3270468628716315,0.27713309094455235,0.22419429410933378,0.1285287263965308,0.3049747019053826,0.32354291705177,0.201390973085304,0.29719740361478725,0.22554399391616353,0.22330432931827857,0.23705436772799873,0.19881684841038075,0.44984828518090664,0.26259395584488515,0.288655223676602,0.19555595673116163,0.2990738088085251,0.2065405861728515,0.26463691213666624,0.20914331402278186,0.3284175778335683,0.27248547354234415,0.21929960129566553,0.3258145168883484,0.3006379047743877,0.3155566539713865,0.24894951790184475,0.2628639977149753,0.2658901738508469,0.2823070336676362,0.2759867627986524,0.12728753621409727,0.1873083968099636,0.22953774896501136,0.24079203683700248,0.1478574166894417,0.17258938116067585,0.2982081472247775,0.28314145836240406,0.28157048205261653,0.17692847341320533,0.2835642209396045,0.18454939684955304,0.42651466741155925,0.36582243122420427,0.3199492721219768,0.26290775860342197,0.32599166685835024,0.24803939253558158,0.2594112180625546,0.31343139650789575,0.36145833547807754,0.2732528457548728,0.20561922432337942,0.30455702973789894,0.24909040238854893,0.24419547041834008,0.46757931958675586
