subject,group,texture,animal,expected,scales,feathers,skin,fur
cb1,CB,scales,snake,0,0,0,1,0
cb1,CB,scales,lizard,0,0,0,1,0
cb1,CB,scales,crocodile,0,0,0,1,0
cb1,CB,scales,goldfish,1,1,0,0,0
cb1,CB,scales,eel,1,1,0,0,0
cb1,CB,scales,turtle,0,0,0,1,0
cb1,CB,feathers,penguin,0,0,0,1,0
cb1,CB,feathers,pigeon,1,0,1,0,0
cb1,CB,feathers,ostrich,0,0,0,0,1
cb1,CB,feathers,peacock,1,0,1,0,0
cb1,CB,feathers,flamingo,1,0,1,0,0
cb1,CB,skin,frog,1,0,0,1,0
cb1,CB,skin,worm,1,0,0,1,0
cb1,CB,skin,elephant,1,0,0,1,0
cb1,CB,skin,rhino,0,0,0,0,1
cb1,CB,skin,toad,0,1,0,0,0
cb1,CB,skin,hippo,1,0,0,1,0
cb1,CB,skin,dolphin,1,0,0,1,0
cb1,CB,scales,shark,1,1,0,0,0
cb1,CB,skin,pig,0,0,0,0,1
cb1,CB,fur,platypus,1,0,0,0,1
cb1,CB,fur,ferret,1,0,0,0,1
cb1,CB,fur,gorilla,0,0,0,1,0
cb1,CB,fur,sheep,1,0,0,0,1
cb1,CB,fur,fox,1,0,0,0,1
cb1,CB,fur,bear,1,0,0,0,1
cb1,CB,fur,horse,1,0,0,0,1
cb1,CB,fur,donkey,1,0,0,0,1
cb1,CB,fur,seal,0,0,0,1,0
cb1,CB,fur,cat,1,0,0,0,1
cb2,CB,scales,snake,0,0,0,1,0
cb2,CB,scales,lizard,1,1,0,0,0
cb2,CB,scales,crocodile,1,1,0,0,0
cb2,CB,scales,goldfish,1,1,0,0,0
cb2,CB,scales,eel,0,0,0,1,0
cb2,CB,scales,turtle,0,0,0,1,0
cb2,CB,feathers,penguin,1,0,1,0,0
cb2,CB,feathers,pigeon,1,0,1,0,0
cb2,CB,feathers,ostrich,1,0,1,0,0
cb2,CB,feathers,peacock,1,0,1,0,0
cb2,CB,feathers,flamingo,1,0,1,0,0
cb2,CB,skin,frog,1,0,0,1,0
cb2,CB,skin,worm,1,0,0,1,0
cb2,CB,skin,elephant,0,0,0,0,1
cb2,CB,skin,rhino,0,0,0,0,1
cb2,CB,skin,toad,1,0,0,1,0
cb2,CB,skin,hippo,0,0,0,0,1
cb2,CB,skin,dolphin,1,0,0,1,0
cb2,CB,scales,shark,1,1,0,0,0
cb2,CB,skin,pig,0,0,0,0,1
cb2,CB,fur,platypus,0,1,0,0,0
cb2,CB,fur,ferret,1,0,0,0,1
cb2,CB,fur,gorilla,1,0,0,0,1
cb2,CB,fur,sheep,1,0,0,0,1
cb2,CB,fur,fox,1,0,0,0,1
cb2,CB,fur,bear,1,0,0,0,1
cb2,CB,fur,horse,1,0,0,0,1
cb2,CB,fur,donkey,1,0,0,0,1
cb2,CB,fur,seal,0,0,0,1,0
cb2,CB,fur,cat,1,0,0,0,1
cb3,CB,scales,snake,0,0,0,1,0
cb3,CB,scales,lizard,1,1,0,0,0
cb3,CB,scales,crocodile,1,1,0,0,0
cb3,CB,scales,goldfish,1,1,0,0,0
cb3,CB,scales,eel,1,1,0,0,0
cb3,CB,scales,turtle,0,0,0,1,0
cb3,CB,feathers,penguin,1,0,1,0,0
cb3,CB,feathers,pigeon,1,0,1,0,0
cb3,CB,feathers,ostrich,1,0,1,0,0
cb3,CB,feathers,peacock,1,0,1,0,0
cb3,CB,feathers,flamingo,1,0,1,0,0
cb3,CB,skin,frog,1,0,0,1,0
cb3,CB,skin,worm,1,0,0,1,0
cb3,CB,skin,elephant,0,0,0,0,1
cb3,CB,skin,rhino,0,0,0,0,1
cb3,CB,skin,toad,0,1,0,0,0
cb3,CB,skin,hippo,1,0,0,1,0
cb3,CB,skin,dolphin,1,0,0,1,0
cb3,CB,scales,shark,1,1,0,0,0
cb3,CB,skin,pig,0,0,0,0,1
cb3,CB,fur,platypus,0,0,0,1,0
cb3,CB,fur,ferret,1,0,0,0,1
cb3,CB,fur,gorilla,1,0,0,0,1
cb3,CB,fur,sheep,1,0,0,0,1
cb3,CB,fur,fox,1,0,0,0,1
cb3,CB,fur,bear,1,0,0,0,1
cb3,CB,fur,horse,1,0,0,0,1
cb3,CB,fur,donkey,1,0,0,0,1
cb3,CB,fur,seal,0,1,0,0,0
cb3,CB,fur,cat,1,0,0,0,1
cb4,CB,scales,snake,1,1,0,0,0
cb4,CB,scales,lizard,1,1,0,0,0
cb4,CB,scales,crocodile,1,1,0,0,0
cb4,CB,scales,goldfish,1,1,0,0,0
cb4,CB,scales,eel,0,0,0,1,0
cb4,CB,scales,turtle,1,1,0,0,0
cb4,CB,feathers,penguin,1,0,1,0,0
cb4,CB,feathers,pigeon,1,0,1,0,0
cb4,CB,feathers,ostrich,1,0,1,0,0
cb4,CB,feathers,peacock,1,0,1,0,0
cb4,CB,feathers,flamingo,1,0,1,0,0
cb4,CB,skin,frog,1,0,0,1,0
cb4,CB,skin,worm,1,0,0,1,0
cb4,CB,skin,elephant,1,0,0,1,0
cb4,CB,skin,rhino,0,0,0,0,1
cb4,CB,skin,toad,1,0,0,1,0
cb4,CB,skin,hippo,0,0,0,0,1
cb4,CB,skin,dolphin,1,0,0,1,0
cb4,CB,scales,shark,1,1,0,0,0
cb4,CB,skin,pig,0,0,0,0,1
cb4,CB,fur,platypus,1,0,0,0,1
cb4,CB,fur,ferret,1,0,0,0,1
cb4,CB,fur,gorilla,1,0,0,0,1
cb4,CB,fur,sheep,1,0,0,0,1
cb4,CB,fur,fox,1,0,0,0,1
cb4,CB,fur,bear,1,0,0,0,1
cb4,CB,fur,horse,1,0,0,0,1
cb4,CB,fur,donkey,1,0,0,0,1
cb4,CB,fur,seal,1,0,0,0,1
cb4,CB,fur,cat,1,0,0,0,1
cb5,CB,scales,snake,1,1,0,0,0
cb5,CB,scales,lizard,1,1,0,0,0
cb5,CB,scales,crocodile,1,1,0,0,0
cb5,CB,scales,goldfish,1,1,0,0,0
cb5,CB,scales,eel,1,1,0,0,0
cb5,CB,scales,turtle,1,1,0,0,0
cb5,CB,feathers,penguin,1,0,1,0,0
cb5,CB,feathers,pigeon,1,0,1,0,0
cb5,CB,feathers,ostrich,1,0,1,0,0
cb5,CB,feathers,peacock,1,0,1,0,0
cb5,CB,feathers,flamingo,1,0,1,0,0
cb5,CB,skin,frog,1,0,0,1,0
cb5,CB,skin,worm,1,0,0,1,0
cb5,CB,skin,elephant,1,0,0,1,0
cb5,CB,skin,rhino,1,0,0,1,0
cb5,CB,skin,toad,1,0,0,1,0
cb5,CB,skin,hippo,1,0,0,1,0
cb5,CB,skin,dolphin,1,0,0,1,0
cb5,CB,scales,shark,1,1,0,0,0
cb5,CB,skin,pig,0,0,0,0,1
cb5,CB,fur,platypus,1,0,0,0,1
cb5,CB,fur,ferret,1,0,0,0,1
cb5,CB,fur,gorilla,1,0,0,0,1
cb5,CB,fur,sheep,1,0,0,0,1
cb5,CB,fur,fox,1,0,0,0,1
cb5,CB,fur,bear,1,0,0,0,1
cb5,CB,fur,horse,1,0,0,0,1
cb5,CB,fur,donkey,1,0,0,0,1
cb5,CB,fur,seal,1,0,0,0,1
cb5,CB,fur,cat,1,0,0,0,1
cb6,CB,scales,snake,1,1,0,0,0
cb6,CB,scales,lizard,1,1,0,0,0
cb6,CB,scales,crocodile,1,1,0,0,0
cb6,CB,scales,goldfish,1,1,0,0,0
cb6,CB,scales,eel,1,1,0,0,0
cb6,CB,scales,turtle,0,0,0,1,0
cb6,CB,feathers,penguin,1,0,1,0,0
cb6,CB,feathers,pigeon,1,0,1,0,0
cb6,CB,feathers,ostrich,1,0,1,0,0
cb6,CB,feathers,peacock,1,0,1,0,0
cb6,CB,feathers,flamingo,1,0,1,0,0
cb6,CB,skin,frog,0,1,0,0,0
cb6,CB,skin,worm,1,0,0,1,0
cb6,CB,skin,elephant,1,0,0,1,0
cb6,CB,skin,rhino,1,0,0,1,0
cb6,CB,skin,toad,0,1,0,0,0
cb6,CB,skin,hippo,1,0,0,1,0
cb6,CB,skin,dolphin,0,1,0,0,0
cb6,CB,scales,shark,1,1,0,0,0
cb6,CB,skin,pig,1,0,0,1,0
cb6,CB,fur,platypus,0,1,0,0,0
cb6,CB,fur,ferret,1,0,0,0,1
cb6,CB,fur,gorilla,0,0,0,1,0
cb6,CB,fur,sheep,1,0,0,0,1
cb6,CB,fur,fox,1,0,0,0,1
cb6,CB,fur,bear,1,0,0,0,1
cb6,CB,fur,horse,1,0,0,0,1
cb6,CB,fur,donkey,1,0,0,0,1
cb6,CB,fur,seal,0,0,0,1,0
cb6,CB,fur,cat,1,0,0,0,1
cb7,CB,scales,snake,0,0,0,1,0
cb7,CB,scales,lizard,0,0,0,1,0
cb7,CB,scales,crocodile,0,0,0,1,0
cb7,CB,scales,goldfish,1,1,0,0,0
cb7,CB,scales,eel,1,1,0,0,0
cb7,CB,scales,turtle,0,0,0,0,0
cb7,CB,feathers,penguin,0,0,0,1,0
cb7,CB,feathers,pigeon,1,0,1,0,0
cb7,CB,feathers,ostrich,1,0,1,0,0
cb7,CB,feathers,peacock,1,0,1,0,0
cb7,CB,feathers,flamingo,1,0,1,0,0
cb7,CB,skin,frog,1,0,0,1,0
cb7,CB,skin,worm,1,0,0,1,0
cb7,CB,skin,elephant,0,0,0,0,1
cb7,CB,skin,rhino,1,0,0,1,0
cb7,CB,skin,toad,1,0,0,1,0
cb7,CB,skin,hippo,1,0,0,1,0
cb7,CB,skin,dolphin,1,0,0,1,0
cb7,CB,scales,shark,1,0,0,1,0
cb7,CB,skin,pig,0,0,0,0,1
cb7,CB,fur,platypus,0,0,0,1,0
cb7,CB,fur,ferret,1,0,0,0,1
cb7,CB,fur,gorilla,0,0,0,1,0
cb7,CB,fur,sheep,1,0,0,0,1
cb7,CB,fur,fox,1,0,0,0,1
cb7,CB,fur,bear,1,0,0,0,1
cb7,CB,fur,horse,1,0,0,0,1
cb7,CB,fur,donkey,1,0,0,0,1
cb7,CB,fur,seal,0,0,0,1,0
cb7,CB,fur,cat,1,0,0,0,1
cb8,CB,scales,snake,0,0,0,1,0
cb8,CB,scales,lizard,1,1,0,0,0
cb8,CB,scales,crocodile,0,0,0,1,0
cb8,CB,scales,goldfish,1,1,0,0,0
cb8,CB,scales,eel,0,0,0,1,0
cb8,CB,scales,turtle,0,0,0,1,0
cb8,CB,feathers,penguin,1,0,1,0,0
cb8,CB,feathers,pigeon,1,0,1,0,0
cb8,CB,feathers,ostrich,1,0,1,0,0
cb8,CB,feathers,peacock,1,0,1,0,0
cb8,CB,feathers,flamingo,1,0,1,0,0
cb8,CB,skin,frog,1,0,0,1,0
cb8,CB,skin,worm,1,0,0,1,0
cb8,CB,skin,elephant,1,0,0,1,0
cb8,CB,skin,rhino,0,0,0,0,1
cb8,CB,skin,toad,1,0,0,1,0
cb8,CB,skin,hippo,0,0,0,0,1
cb8,CB,skin,dolphin,1,0,0,1,0
cb8,CB,scales,shark,1,1,0,0,0
cb8,CB,skin,pig,0,0,0,0,1
cb8,CB,fur,platypus,1,0,0,0,1
cb8,CB,fur,ferret,1,0,0,0,1
cb8,CB,fur,gorilla,1,0,0,0,1
cb8,CB,fur,sheep,1,0,0,0,1
cb8,CB,fur,fox,1,0,0,0,1
cb8,CB,fur,bear,1,0,0,0,1
cb8,CB,fur,horse,1,0,0,0,1
cb8,CB,fur,donkey,1,0,0,0,1
cb8,CB,fur,seal,0,0,0,1,0
cb8,CB,fur,cat,1,0,0,0,1
cb9,CB,scales,snake,0,0,0,1,0
cb9,CB,scales,lizard,1,1,0,0,0
cb9,CB,scales,crocodile,0,0,0,1,0
cb9,CB,scales,goldfish,1,1,0,0,0
cb9,CB,scales,eel,1,1,0,0,0
cb9,CB,scales,turtle,0,0,0,1,0
cb9,CB,feathers,penguin,1,0,1,0,0
cb9,CB,feathers,pigeon,1,0,1,0,0
cb9,CB,feathers,ostrich,1,0,1,0,0
cb9,CB,feathers,peacock,1,0,1,0,0
cb9,CB,feathers,flamingo,1,0,1,0,0
cb9,CB,skin,frog,1,0,0,1,0
cb9,CB,skin,worm,1,0,0,1,0
cb9,CB,skin,elephant,1,0,0,1,0
cb9,CB,skin,rhino,1,0,0,1,0
cb9,CB,skin,toad,1,0,0,1,0
cb9,CB,skin,hippo,0,0,0,0,1
cb9,CB,skin,dolphin,1,0,0,1,0
cb9,CB,scales,shark,0,0,0,1,0
cb9,CB,skin,pig,1,0,0,1,0
cb9,CB,fur,platypus,0,0,0,1,0
cb9,CB,fur,ferret,0,0,0,1,0
cb9,CB,fur,gorilla,1,0,0,0,1
cb9,CB,fur,sheep,1,0,0,0,1
cb9,CB,fur,fox,0,0,0,1,0
cb9,CB,fur,bear,1,0,0,0,1
cb9,CB,fur,horse,1,0,0,0,1
cb9,CB,fur,donkey,1,0,0,0,1
cb9,CB,fur,seal,0,0,0,1,0
cb9,CB,fur,cat,1,0,0,0,1
cb10,CB,scales,snake,0,0,0,1,0
cb10,CB,scales,lizard,0,0,0,1,0
cb10,CB,scales,crocodile,0,0,0,1,0
cb10,CB,scales,goldfish,1,1,0,0,0
cb10,CB,scales,eel,1,1,0,0,0
cb10,CB,scales,turtle,0,0,0,1,0
cb10,CB,feathers,penguin,0,0,0,0,1
cb10,CB,feathers,pigeon,1,0,1,0,0
cb10,CB,feathers,ostrich,1,0,1,0,0
cb10,CB,feathers,peacock,1,0,1,0,0
cb10,CB,feathers,flamingo,1,0,1,0,0
cb10,CB,skin,frog,0,0,0,0,1
cb10,CB,skin,worm,1,0,0,1,0
cb10,CB,skin,elephant,1,0,0,1,0
cb10,CB,skin,rhino,0,0,1,0,0
cb10,CB,skin,toad,1,0,0,1,0
cb10,CB,skin,hippo,0,0,0,0,1
cb10,CB,skin,dolphin,0,1,0,0,0
cb10,CB,scales,shark,1,1,0,0,0
cb10,CB,skin,pig,0,0,0,0,1
cb10,CB,fur,platypus,0,0,0,1,0
cb10,CB,fur,ferret,0,0,1,0,0
cb10,CB,fur,gorilla,1,0,0,0,1
cb10,CB,fur,sheep,1,0,0,0,1
cb10,CB,fur,fox,1,0,0,0,1
cb10,CB,fur,bear,1,0,0,0,1
cb10,CB,fur,horse,1,0,0,0,1
cb10,CB,fur,donkey,0,0,0,1,0
cb10,CB,fur,seal,0,1,0,0,0
cb10,CB,fur,cat,1,0,0,0,1
cb11,CB,scales,snake,1,1,0,0,0
cb11,CB,scales,lizard,1,1,0,0,0
cb11,CB,scales,crocodile,0,0,0,1,0
cb11,CB,scales,goldfish,1,1,0,0,0
cb11,CB,scales,eel,0,0,0,1,0
cb11,CB,scales,turtle,0,0,0,1,0
cb11,CB,feathers,penguin,1,0,1,0,0
cb11,CB,feathers,pigeon,1,0,1,0,0
cb11,CB,feathers,ostrich,1,0,1,0,0
cb11,CB,feathers,peacock,1,0,1,0,0
cb11,CB,feathers,flamingo,1,0,1,0,0
cb11,CB,skin,frog,1,0,0,1,0
cb11,CB,skin,worm,1,0,0,1,0
cb11,CB,skin,elephant,0,0,0,0,1
cb11,CB,skin,rhino,0,0,0,0,1
cb11,CB,skin,toad,1,0,0,1,0
cb11,CB,skin,hippo,0,0,0,0,1
cb11,CB,skin,dolphin,0,1,0,0,0
cb11,CB,scales,shark,1,1,0,0,0
cb11,CB,skin,pig,0,0,0,0,1
cb11,CB,fur,platypus,1,0,0,0,1
cb11,CB,fur,ferret,1,0,0,0,1
cb11,CB,fur,gorilla,1,0,0,0,1
cb11,CB,fur,sheep,1,0,0,0,1
cb11,CB,fur,fox,1,0,0,0,1
cb11,CB,fur,bear,1,0,0,0,1
cb11,CB,fur,horse,1,0,0,0,1
cb11,CB,fur,donkey,1,0,0,0,1
cb11,CB,fur,seal,0,0,0,1,0
cb11,CB,fur,cat,1,0,0,0,1
cb12,CB,scales,snake,0,0,0,1,0
cb12,CB,scales,lizard,0,0,0,1,0
cb12,CB,scales,crocodile,0,0,0,1,0
cb12,CB,scales,goldfish,1,1,0,0,0
cb12,CB,scales,eel,0,0,0,1,0
cb12,CB,scales,turtle,0,0,0,1,0
cb12,CB,feathers,penguin,1,0,1,0,0
cb12,CB,feathers,pigeon,1,0,1,0,0
cb12,CB,feathers,ostrich,0,1,0,0,0
cb12,CB,feathers,peacock,1,0,1,0,0
cb12,CB,feathers,flamingo,1,0,1,0,0
cb12,CB,skin,frog,1,0,0,1,0
cb12,CB,skin,worm,1,0,0,1,0
cb12,CB,skin,elephant,1,0,0,1,0
cb12,CB,skin,rhino,1,0,0,1,0
cb12,CB,skin,toad,1,0,0,1,0
cb12,CB,skin,hippo,1,0,0,1,0
cb12,CB,skin,dolphin,1,0,0,1,0
cb12,CB,scales,shark,1,1,0,0,0
cb12,CB,skin,pig,1,0,0,1,0
cb12,CB,fur,platypus,0,0,0,1,0
cb12,CB,fur,ferret,1,0,0,0,1
cb12,CB,fur,gorilla,1,0,0,0,1
cb12,CB,fur,sheep,1,0,0,0,1
cb12,CB,fur,fox,1,0,0,0,1
cb12,CB,fur,bear,1,0,0,0,1
cb12,CB,fur,horse,1,0,0,0,1
cb12,CB,fur,donkey,1,0,0,0,1
cb12,CB,fur,seal,0,0,0,1,0
cb12,CB,fur,cat,1,0,0,0,1
cb13,CB,scales,snake,1,1,0,0,0
cb13,CB,scales,lizard,0,0,0,1,0
cb13,CB,scales,crocodile,1,1,0,0,0
cb13,CB,scales,goldfish,0,0,0,1,0
cb13,CB,scales,eel,0,0,0,1,0
cb13,CB,scales,turtle,0,0,0,1,0
cb13,CB,feathers,penguin,0,0,0,1,0
cb13,CB,feathers,pigeon,1,0,1,0,0
cb13,CB,feathers,ostrich,1,0,1,0,0
cb13,CB,feathers,peacock,1,0,1,0,0
cb13,CB,feathers,flamingo,1,0,1,0,0
cb13,CB,skin,frog,0,1,0,0,0
cb13,CB,skin,worm,1,0,0,1,0
cb13,CB,skin,elephant,0,0,0,0,1
cb13,CB,skin,rhino,0,0,0,0,1
cb13,CB,skin,toad,1,0,0,1,0
cb13,CB,skin,hippo,0,0,0,0,1
cb13,CB,skin,dolphin,0,1,0,0,0
cb13,CB,scales,shark,0,0,0,1,0
cb13,CB,skin,pig,0,0,0,0,1
cb13,CB,fur,platypus,0,1,0,0,0
cb13,CB,fur,ferret,1,0,0,0,1
cb13,CB,fur,gorilla,1,0,0,0,1
cb13,CB,fur,sheep,1,0,0,0,1
cb13,CB,fur,fox,1,0,0,0,1
cb13,CB,fur,bear,1,0,0,0,1
cb13,CB,fur,horse,1,0,0,0,1
cb13,CB,fur,donkey,1,0,0,0,1
